WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (110.1640846 -7.8266798)",1532.0,14.0,Kabupaten Kulon Progo,3401.0,2.0,-7.8266798,110.1640846,1.0
"POINT (110.324299 -7.8761673)",1533.0,14.0,Kabupaten Bantul,3402.0,2.0,-7.8761673,110.324299,1.0
"POINT (110.6125 -7.99444)",1534.0,14.0,Kabupaten Gunung Kidul,3403.0,2.0,-7.99444 ,110.6125,1.0
"POINT (110.368797 -7.797224)",1536.0,14.0,Kota Yogyakarta,3471.0,2.0,-7.797224,110.368797,1.0
