WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (106.5071981 -5.7985265)",1465.0,11.0,Kabupaten Kepulauan Seribu,3101.0,2.0,-5.7985265,106.5071981,1.0
"POINT (106.8099746 -6.2667695)",1466.0,11.0,Kota Jakarta Selatan,3174.0,2.0,-6.2667695,106.8099746,1.0
"POINT (106.9083433 -6.2251963)",1467.0,11.0,Kota Jakarta Timur,3175.0,2.0,-6.2251963,106.9083433,1.0
"POINT (106.8225127 -6.1949901)",1468.0,11.0,Kota Jakarta Pusat,3171.0,2.0,-6.1949901,106.8225127,1.0
"POINT (106.7641477 -6.1719506)",1469.0,11.0,Kota Jakarta Barat,3173.0,2.0,-6.1719506,106.7641477,1.0
"POINT (106.8994172 -6.1494212)",1470.0,11.0,Kota Jakarta Utara,3172.0,2.0,-6.1494212,106.8994172,1.0
